Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Actor_loss               Critic_loss              
0                        0.06504972411526574      100030                   0.028633592883020184     26.568393094289508       -0.03352274226024747     0.008151217091362923     
1                        0.16576923814084796      200043                   0.02875188128076287      26.813136729222517       -9.962997317870759e-05   0.001744856700534001     
2                        0.2660036582416958       300046                   0.02916904586723949      27.057088744588743       -7.140876096173088e-05   0.0012967747496441006    
3                        0.36695873611503177      400062                   0.02839068276509764      27.33424432905164        0.0005990748807016644    0.0011217777570709587    
4                        0.4665669877661599       500080                   0.029075189246556957     27.454844908042816       -0.00016019619471535407  0.0010069085721625016    
5                        0.5655595246950785       600092                   0.028052761707752914     27.574303832368344       0.0009219445599592291    0.0009208295599091799    
6                        0.6660366451740265       700104                   0.02909007189529157      27.87402452619844        -0.00028175360716204523  0.0008696659473935143    
7                        0.7667832673920525       800116                   0.030153802454137922     28.140686550365768       -0.0003188806347543505   0.0008274608285864815    
8                        0.8677902825673421       900125                   0.030742034220699117     28.452062588904703       4.74425249694832e-05     0.0007709444576175883    
9                        0.9682747377289667       1000156                  0.030129443456235323     28.506982046167007       0.0010863197193248198    0.0007421433675335721    
10                       1.0702697994973924       1100173                  0.02998297166581147      28.798445148286792       0.0004978343017683073    0.0007056442933389917    
11                       1.1712000719706217       1200203                  0.030386814991211052     28.86868686868686        -1.5740436401756596e-06  0.0006676014809636399    
12                       1.2722750330633588       1300231                  0.029861700808761563     28.67775229357799        0.0006789070539252862    0.0006464619637699798    
13                       1.3736753719382815       1400242                  0.030485155671567798     29.27722482435598        -1.538867008775924e-05   0.0006081929028732702    
14                       1.4749408114618725       1500243                  0.032294907204370116     29.274297423887596       -0.00019820833279027283  0.0006054162461077795    
15                       1.5766691482729382       1600249                  0.030948238238953898     29.75483487057423        0.00036788735338859623   0.0005653097270987928    
16                       1.6780252782503764       1700272                  0.03292275953371103      29.929084380610412       0.00012220060999311498   0.0005706651823129505    
17                       1.7782176242272059       1800296                  0.032637956560932574     30.01920768307323        0.00018528997086832532   0.0005474925495218486    
18                       1.8794704812765122       1900314                  0.03198959017684651      30.071557426337954       0.0006364297885011183    0.0005274390586419031    
19                       1.981169011592865        2000325                  0.031299506487912        30.631240428790196       0.00047843722488323694   0.0005103726958623156    
20                       2.0814658526579537       2100334                  0.033051403951674205     31.15545171339564        0.0007302452922158409    0.0004985141527140513    
21                       2.1809212469392354       2200348                  0.032327739127878105     31.32289383025368        0.0008193508986732923    0.000500070421549026     
22                       2.2825629689296085       2300360                  0.032629930784484486     31.51969744721084        -0.00046084271941253973  0.0004970919838524424    
23                       2.384104158480962        2400364                  0.03390280129042949      32.04229413649468        0.000533382206940587     0.0004832713346695527    
24                       2.4850180814001295       2500392                  0.03464279913315459      32.35058214747734        0.0006472816627501743    0.0004892533033853397    
25                       2.586220882601208        2600406                  0.034592137818540876     32.57785016286637        0.001194920864654705     0.0004840361120295711    
26                       2.692114364835951        2700424                  0.03415507430626356      32.8250738431244         0.0006159856564772781    0.0004947383675607853    
27                       2.7973232988516488       2800439                  0.03614180382356482      33.37170503837173        -0.0006188114361430053   0.00048731566785136237   
28                       2.8992936629719206       2900451                  0.03601111551719381      33.65141318977119        1.159232672307553e-05    0.00047740483743837105   
29                       3.000432724489106        3000454                  0.03592382640957078      33.93383101459104        0.0006000405787926866    0.0004683414616738446    
30                       3.1046707371208404       3100471                  0.03649535159635661      34.2876242715117         0.0005027428526227595    0.00047276035242248325   
31                       3.207630559868283        3200489                  0.035678191616683716     34.70437196391399        0.0015886966895777733    0.0004694418469443917    
32                       3.309518124262492        3300517                  0.03754493704528617      35.24594785059909        -0.0005628532858827384   0.0004780553127056919    
